#HIMS 5, Width 16 pulse, 1056
t(ms), signal(%full range)
3.673, 6.805
3.678, 6.723
3.683, 6.645
3.688, 6.574
3.693, 6.501
3.698, 6.436
3.703, 6.377
3.708, 6.312
3.713, 6.258
3.718, 6.206
3.723, 6.154
3.728, 6.110
3.733, 6.064
3.738, 6.026
3.743, 5.988
3.748, 5.953
3.753, 5.925
3.758, 5.894
3.763, 5.874
3.768, 5.845
3.773, 5.823
3.778, 5.807
3.783, 5.783
3.788, 5.767
3.793, 5.754
3.798, 5.741
3.803, 5.724
3.808, 5.711
3.813, 5.695
3.818, 5.688
3.823, 5.672
3.828, 5.673
3.833, 5.660
3.838, 5.647
3.843, 5.638
3.848, 5.626
3.853, 5.620
3.858, 5.616
3.863, 5.606
3.868, 5.595
3.873, 5.601
3.878, 5.594
3.883, 5.586
3.888, 5.584
3.893, 5.579
3.898, 5.568
3.903, 5.572
3.908, 5.561
3.913, 5.561
3.918, 5.555
3.923, 5.551
3.928, 5.552
3.933, 5.544
3.938, 5.544
3.943, 5.538
3.948, 5.542
3.953, 5.542
3.958, 5.541
3.963, 5.539
3.968, 5.533
3.973, 5.527
3.978, 5.532
3.983, 5.527
3.988, 5.524
3.993, 5.523
3.998, 5.518
4.003, 5.524
4.008, 5.522
4.013, 5.524
4.018, 5.521
4.023, 5.521
4.028, 5.517
4.033, 5.513
4.038, 5.517
4.043, 5.517
4.048, 5.514
4.053, 5.508
4.058, 5.506
4.063, 5.503
4.068, 5.504
4.073, 5.506
4.078, 5.505
4.083, 5.502
4.088, 5.504
4.093, 5.504
4.098, 5.501
4.103, 5.496
4.108, 5.496
4.113, 5.490
4.118, 5.495
4.123, 5.492
4.128, 5.492
4.133, 5.489
4.138, 5.490
4.143, 5.480
4.148, 5.481
4.153, 5.482
4.158, 5.490
4.163, 5.493
4.168, 5.497
4.173, 5.500
4.178, 5.505
4.183, 5.508
4.188, 5.508
4.193, 5.512
4.198, 5.518
4.203, 5.528
4.208, 5.539
4.213, 5.545
4.218, 5.548
4.223, 5.572
4.228, 5.590
4.233, 5.608
4.238, 5.624
4.243, 5.652
4.248, 5.678
4.253, 5.701
4.258, 5.729
4.263, 5.746
4.268, 5.763
4.273, 5.788
4.278, 5.807
4.283, 5.823
4.288, 5.833
4.293, 5.840
4.298, 5.838
4.303, 5.840
4.308, 5.840
4.313, 5.826
4.318, 5.813
4.323, 5.795
4.328, 5.776
4.333, 5.754
4.338, 5.736
4.343, 5.710
4.348, 5.687
4.353, 5.659
4.358, 5.632
4.363, 5.612
4.368, 5.588
4.373, 5.563
4.378, 5.545
4.383, 5.531
4.388, 5.514
4.393, 5.505
4.398, 5.501
4.403, 5.491
4.408, 5.486
4.413, 5.474
4.418, 5.466
4.423, 5.465
4.428, 5.459
4.433, 5.456
4.438, 5.455
4.443, 5.449
4.448, 5.445
4.453, 5.438
4.458, 5.438
4.463, 5.437
4.468, 5.435
4.473, 5.432
4.478, 5.428
4.483, 5.436
4.488, 5.431
4.493, 5.430
4.498, 5.436
4.503, 5.436
4.508, 5.430
4.513, 5.429
4.518, 5.432
4.523, 5.429
4.528, 5.424
4.533, 5.423
4.538, 5.415
4.543, 5.415
4.548, 5.418
4.553, 5.413
4.558, 5.411
4.563, 5.403
4.568, 5.401
4.573, 5.398
4.578, 5.396
4.583, 5.397
4.588, 5.392
4.593, 5.386
4.598, 5.381
4.603, 5.382
4.608, 5.369
4.613, 5.372
4.618, 5.370
4.623, 5.373
4.628, 5.370
4.633, 5.372
4.638, 5.373
4.643, 5.365
4.648, 5.362
4.653, 5.362
4.658, 5.362
4.663, 5.362
4.668, 5.363
4.673, 5.363
4.678, 5.367
4.683, 5.368
4.688, 5.365
4.693, 5.361
4.698, 5.360
4.703, 5.356
4.708, 5.360
4.713, 5.363
4.718, 5.360
4.723, 5.361
4.728, 5.358
4.733, 5.354
4.738, 5.357
4.743, 5.350
4.748, 5.346
4.753, 5.345
4.758, 5.353
4.763, 5.351
4.768, 5.346
4.773, 5.349
4.778, 5.353
4.783, 5.351
4.788, 5.355
4.793, 5.349
4.798, 5.349
4.803, 5.349
4.808, 5.351
4.813, 5.345
4.818, 5.342
4.823, 5.344
4.828, 5.344
4.833, 5.346
4.838, 5.345
4.843, 5.348
4.848, 5.343
4.853, 5.343
4.858, 5.341
4.863, 5.347
4.868, 5.345
4.873, 5.342
4.878, 5.348
4.883, 5.346
4.888, 5.344
4.893, 5.343
4.898, 5.341
4.903, 5.334
4.908, 5.339
4.913, 5.345
4.918, 5.346
4.923, 5.347
4.928, 5.345
4.933, 5.346
4.938, 5.346
4.943, 5.346
4.948, 5.346
4.953, 5.344
4.958, 5.344
4.963, 5.344
4.968, 5.349
4.973, 5.349
4.978, 5.349
4.983, 5.351
4.988, 5.353
4.993, 5.349
4.998, 5.350
5.003, 5.347
5.008, 5.345
5.013, 5.355
5.018, 5.352
5.023, 5.348
5.028, 5.350
5.033, 5.352
5.038, 5.351
